footprint_sqm,perimeter,floors,finish_grade,is_coastal,terrain,road_access,plot_area,bathroom_count,room_count,concrete_m3,steel_kg,brickwork_m3,floor_area_sqm,wall_plaster_sqm,door_count,window_count,concrete_per_sqm,steel_to_concrete_ratio,opening_to_wall_ratio,perimeter_to_area_ratio,terrain_encoded,road_access_encoded,finish_grade_encoded,roof_type_encoded,direct_cost_lkr,grand_total_lkr
135.6,62.6,1.0,luxury,0.0,flat,paved,678.0,2.0,6,38.341,4217.5,64.337,135.6,432.5,10.0,14.0,0.28275073746312684,109.99973918259826,0.14409898974077845,0.4616519174041298,0.0,0.0,2.0,2.0,8057098.75,12038313.49
81.8,45.3,2.0,luxury,0.0,flat,paved,498.1,4.0,6,37.915,4170.6,95.341,163.6,633.57,13.0,14.0,0.23175427872860635,109.99868126071478,0.09926470588235294,0.2768948655256724,0.0,0.0,2.0,2.0,9323590.66,12408772.47
153.5,52.1,1.0,mid,0.0,sloped,paved,268.3,2.0,4,36.971,4066.8,53.272,153.5,326.15,7.0,8.0,0.2408534201954397,109.99972951773013,0.11171194508305542,0.339413680781759,1.0,0.0,1.0,1.0,7369887.74,10487221.65
123.3,56.2,2.0,mid,1.0,flat,gravel,715.1,2.0,5,52.558,5781.4,124.306,246.6,739.59,8.0,10.0,0.21313057583130576,110.00038053198371,0.05712551054200244,0.22789943227899434,0.0,1.0,1.0,1.0,11526164.99,18687754.31
104.4,44.4,1.0,economy,1.0,flat,gravel,309.5,3.0,4,28.168,3098.5,45.176,104.4,274.39,7.0,7.0,0.26980842911877395,110.00071002556092,0.12357049658454218,0.42528735632183906,0.0,1.0,0.0,0.0,5809722.88,7424482.47
103.0,48.1,2.0,economy,0.0,flat,paved,381.3,4.0,3,43.875,4826.2,76.129,206.0,559.88,7.0,5.0,0.21298543689320387,109.9988603988604,0.048891093318217255,0.23349514563106796,0.0,0.0,0.0,2.0,8767740.93,10525848.51
103.2,53.3,3.0,mid,0.0,flat,paved,519.1,3.0,7,61.498,6764.8,140.901,309.6,1055.34,11.0,14.0,0.19863695090439273,110.0003252138281,0.0557078775783059,0.17215762273901808,0.0,0.0,1.0,0.0,13787588.61,19633688.92
121.1,55.4,1.0,economy,1.0,flat,paved,196.0,2.0,5,33.724,3709.6,57.485,121.1,316.89,7.0,8.0,0.2784805945499587,109.99881390107936,0.10523105078542018,0.45747316267547483,0.0,0.0,0.0,1.0,6727654.4,9199244.41
66.6,42.9,1.0,mid,0.0,flat,paved,245.6,3.0,2,22.708,2497.9,33.536,66.6,245.39,6.0,4.0,0.34096096096096096,110.00088074687336,0.09506096300888613,0.6441441441441442,0.0,0.0,1.0,3.0,4478176.77,5620040.04
79.3,45.2,1.0,mid,1.0,hilly,paved,224.2,3.0,6,25.218,2774.0,37.513,79.3,271.2,10.0,12.0,0.31800756620428755,110.00079308430486,0.1901469317199654,0.5699873896595209,2.0,0.0,1.0,2.0,5487950.34,8516444.82
