project_id,district,construction_type,soil_type,built_up_area_sqft,num_floors,num_rooms,num_bathrooms,total_cost_lkr,labor_hours_total,material_cost_lkr,contractor_experience_years,start_month,num_workers,had_delays,preconstruction_weeks,siteprep_weeks,foundation_weeks,structure_weeks,envelope_weeks,mep_weeks,finishes_weeks,external_weeks,total_weeks
PRJ-0001,Galle,Residential,Rocky,14443.0,1.0,3.0,1.0,92182000.0,26549.0,57129000.0,30.0,12.0,33.0,0,3.0,3.9,5.8,8.7,5.2,2.1,5.7,3.5,37.9
PRJ-0002,Polonnaruwa,Residential,Clay,12880.0,4.0,13.0,5.0,405938000.0,80647.0,222835000.0,4.0,5.0,48.0,0,6.0,3.4,6.6,12.9,6.8,4.1,8.2,3.3,51.3
PRJ-0003,Ampara,Residential,Alluvial,7805.0,1.0,4.0,1.0,38683000.0,15909.0,21079000.0,18.0,10.0,38.0,0,4.2,2.2,3.7,6.6,3.7,2.1,4.4,2.4,29.3
PRJ-0004,Kilinochchi,Residential,Clay,14836.0,4.0,15.0,7.0,341248000.0,93502.0,182525000.0,26.0,12.0,17.0,0,4.4,3.6,6.9,13.8,7.3,4.6,8.6,3.6,52.8
PRJ-0005,Matara,Commercial,Loam,958.0,4.0,12.0,6.0,27511000.0,5933.0,14291000.0,21.0,8.0,46.0,0,6.4,1.2,4.0,8.7,4.1,4.2,6.4,1.5,36.5
PRJ-0006,Badulla,Commercial,Clay,10969.0,3.0,7.0,3.0,265069000.0,35330.0,142732000.0,7.0,9.0,13.0,1,6.4,3.1,6.3,11.2,6.2,3.1,7.5,3.2,47.0
PRJ-0007,Galle,Residential,Alluvial,1756.0,5.0,12.0,4.0,78244000.0,9067.0,43292000.0,29.0,4.0,46.0,1,4.7,1.5,5.2,10.9,5.3,4.2,7.2,1.4,40.4
PRJ-0008,Anuradhapura,Residential,Loam,2871.0,4.0,10.0,5.0,55166000.0,23922.0,33160000.0,1.0,7.0,35.0,0,6.0,1.5,4.4,9.3,4.5,4.0,6.6,1.5,37.8
PRJ-0009,Ratnapura,Commercial,Loam,9395.0,3.0,8.0,4.0,240776000.0,35484.0,122648000.0,26.0,2.0,11.0,0,4.9,2.3,4.6,9.9,5.4,3.4,6.9,2.8,40.2
PRJ-0010,Kilinochchi,Residential,Clay,13603.0,5.0,22.0,10.0,360965000.0,89842.0,191880000.0,26.0,6.0,8.0,0,5.7,3.5,7.2,15.3,7.6,5.7,9.5,3.3,57.8
PRJ-0011,Kilinochchi,Industrial,Rocky,11771.0,4.0,14.0,7.0,584560000.0,87753.0,363218000.0,23.0,8.0,23.0,0,6.9,3.7,7.0,12.7,6.6,4.5,8.3,3.5,53.2
