project_id,num_floors,floor_area_sqm,built_up_area_sqft,room_count,bathroom_count,foundation_excavation_m3,foundation_concrete_m3,total_concrete_m3,steel_kg_estimate,total_brickwork_m3,roof_area_sqm,floor_tile_sqm,wall_plaster_sqm,paint_sqm,electrical_points,total_plumbing_fixtures,total_labour_days,structural_complexity_score,foundation_days,structure_days,masonry_days,roofing_days,electrical_days,plumbing_days,plastering_days,finishing_days,painting_days,external_work_days,handover_days,total_duration_days
RP0001,1,220.44,2372.79,6,3,73.16,35.5,73.99,7707.62,52.71,258.12,187.1,659.01,601.75,42,14,749,1.388,25,50,29,20,12,14,28,22,19,9,4,150
RP0002,3,318.32,3426.36,7,3,171.64,80.71,251.16,44434.23,239.64,386.94,846.61,2616.2,2316.9,58,17,2872,2.483,55,188,102,27,18,17,97,47,60,12,5,477
RP0003,1,293.89,3163.4,7,1,106.83,48.4,104.9,10775.78,75.96,348.21,235.61,800.67,695.88,43,6,967,1.556,32,65,40,23,12,7,33,26,20,11,4,188
RP0004,1,240.33,2586.89,6,2,86.01,37.64,80.58,7559.96,55.3,253.29,216.71,649.34,568.71,47,9,729,1.495,27,50,30,19,11,11,28,24,17,9,4,154
RP0005,2,280.74,3021.86,8,3,124.85,56.77,168.56,24763.78,158.29,292.93,423.42,1601.05,1508.23,55,16,1631,2.005,38,118,73,23,18,16,61,29,40,10,4,311
RP0006,2,220.45,2372.9,6,3,96.07,41.81,111.03,17977.48,110.75,263.49,326.95,1216.6,1056.43,47,14,1264,1.992,33,88,53,20,14,14,48,31,30,8,4,243
RP0007,1,319.55,3439.6,7,2,124.05,51.69,106.97,11926.63,86.53,383.7,289.95,866.28,732.68,55,9,1103,1.559,35,66,44,25,14,10,36,30,22,11,4,201
RP0008,3,242.03,2605.19,6,3,123.33,60.75,178.75,35643.8,177.66,283.24,619.04,2192.24,1929.51,52,16,2177,2.372,41,152,78,24,18,15,83,34,50,11,4,385
RP0009,1,334.98,3605.69,4,2,116.76,51.25,111.02,10487.81,69.65,354.96,291.17,976.54,822.35,29,9,1100,1.519,34,65,36,24,9,10,38,24,24,11,4,193
RP0010,3,269.17,2897.32,8,4,140.41,64.6,202.38,40319.37,221.57,319.7,648.63,2322.34,2086.53,70,19,2482,2.512,46,165,97,24,19,18,89,40,54,11,4,425
RP0011,1,354.42,3814.94,4,2,129.86,55.65,108.95,12648.82,89.18,416.21,278.4,943.4,909.44,31,10,1183,1.553,39,71,44,28,11,11,38,23,27,10,4,211
RP0012,2,355.43,3825.81,8,4,173.47,73.68,185.79,29736.18,182.4,452.35,623.09,2051.19,2089.48,64,17,2214,2.066,51,134,78,30,17,18,80,36,53,13,4,378
RP0013,3,290.52,3127.13,8,4,160.76,70.54,230.09,43399.16,228.09,325.47,653.28,2736.24,2495.34,68,23,2543,2.44,50,183,98,25,20,21,103,45,64,10,6,476
RP0014,1,299.55,3224.33,6,3,99.74,44.09,94.12,10760.81,77.86,338.35,275.41,850.03,747.7,47,14,995,1.531,31,63,39,23,13,15,34,29,23,10,5,189
RP0015,3,336.47,3621.73,7,2,182.83,79.6,263.88,52693.52,287.71,354.17,752.0,2922.98,2854.26,59,12,2844,2.468,54,209,121,27,16,12,108,43,72,11,5,530
RP0016,2,109.35,1177.03,4,2,49.35,21.66,62.03,9384.86,53.81,115.77,188.07,574.25,584.31,38,11,758,1.715,23,59,29,12,12,12,26,21,18,5,3,152
RP0017,2,91.54,985.33,4,4,37.95,18.63,50.53,7558.17,42.21,101.8,151.93,460.91,438.54,51,19,598,1.75,19,52,24,10,15,17,23,19,15,6,4,133
RP0018,1,135.36,1457.0,5,1,42.91,20.04,47.43,4992.06,31.08,131.0,123.41,417.29,409.84,33,6,443,1.23,17,38,22,12,11,7,21,20,13,6,4,115
RP0019,2,223.44,2405.09,5,4,99.84,48.18,126.29,17709.13,104.36,227.6,347.86,1195.81,1127.83,38,18,1290,1.773,34,91,48,17,13,17,49,29,32,10,4,246
RP0020,1,352.64,3795.78,7,2,119.09,52.91,111.21,12290.06,94.96,401.54,277.8,1064.12,878.13,46,10,1030,1.625,36,70,46,27,11,12,44,27,26,9,4,214
RP0021,2,357.38,3846.8,8,4,149.35,72.32,217.17,27818.19,200.22,397.2,520.48,2091.87,1930.45,68,19,2294,2.013,46,137,87,26,18,19,80,35,51,11,5,379
RP0022,3,308.24,3317.86,8,3,167.15,74.87,233.91,49256.57,248.47,336.69,791.06,2830.05,2559.17,64,18,2466,2.445,53,200,105,23,18,16,106,45,67,13,4,504
RP0023,2,399.6,4301.25,8,3,182.31,73.0,218.64,32780.01,245.03,468.95,586.16,2459.77,2026.14,57,15,2429,2.21,49,147,103,31,16,13,90,38,52,11,5,413
RP0024,3,289.1,3111.84,7,3,153.48,77.65,238.68,43486.29,226.67,339.52,797.0,2458.06,2436.12,59,16,2762,2.42,52,182,96,25,17,16,91,43,62,9,4,459
RP0025,3,245.15,2638.77,8,4,127.04,61.92,184.82,34068.18,209.79,286.49,529.77,2276.14,2278.83,69,20,2104,2.365,44,149,90,22,20,17,85,34,60,11,5,405
RP0026,2,95.54,1028.38,3,3,43.42,18.93,54.07,8101.5,43.2,96.92,161.28,519.69,488.27,31,13,623,1.656,21,55,23,10,11,13,23,19,17,8,3,139
RP0027,1,335.75,3613.98,7,3,126.24,55.43,117.84,10493.67,89.08,351.95,289.29,1061.5,941.13,52,15,1112,1.597,36,68,45,22,14,15,44,29,27,11,5,215
RP0028,1,251.58,2707.98,4,2,83.77,41.28,88.26,7861.35,56.94,306.65,225.11,673.03,638.21,29,10,841,1.427,29,54,28,21,10,11,28,20,19,9,4,156
RP0029,2,298.43,3212.27,7,2,142.64,56.22,146.33,22267.74,157.85,337.68,518.28,1504.75,1481.31,60,10,1730,1.985,40,107,72,25,16,13,59,36,39,11,4,302
RP0030,2,274.8,2957.92,7,3,118.29,53.61,159.47,23126.25,147.52,306.26,470.96,1444.44,1474.09,52,13,1713,1.975,37,113,65,22,14,14,57,33,41,11,4,300
RP0031,3,160.78,1730.62,6,3,84.74,40.42,120.17,21972.71,113.58,185.78,400.62,1194.28,1191.43,52,16,1442,2.248,32,109,52,15,17,14,49,33,34,11,5,270
RP0032,1,118.61,1276.71,4,1,39.94,18.26,40.4,4289.73,26.03,147.25,106.15,301.44,280.78,33,5,368,1.243,17,34,18,14,10,7,15,16,11,7,4,100
RP0033,3,132.34,1424.49,6,3,72.7,33.14,105.71,20488.61,103.0,153.92,328.09,1142.43,1173.97,57,12,1270,2.15,29,99,48,16,17,15,47,27,33,8,3,246
RP0034,3,284.48,3062.11,7,3,141.34,71.43,225.44,41108.99,223.87,332.0,668.95,2354.17,2158.38,59,15,2617,2.461,46,175,97,24,18,14,90,39,55,13,5,438
RP0035,3,316.32,3404.84,8,4,165.68,76.41,257.41,46333.64,250.45,370.15,707.13,2885.66,2770.73,67,22,2717,2.525,54,193,105,25,18,20,108,44,72,13,5,505
RP0036,2,144.81,1558.72,6,2,55.38,29.01,81.12,12927.11,78.18,161.77,209.87,797.99,801.0,52,11,950,1.841,22,73,40,14,14,11,33,27,24,8,4,187
RP0037,3,324.03,3487.83,8,3,170.01,79.37,255.85,48903.41,265.82,354.01,867.22,2812.9,2311.01,61,17,2920,2.587,53,198,112,24,17,16,107,51,59,14,5,502
RP0038,3,124.16,1336.45,6,4,62.98,27.72,87.45,18966.88,92.31,144.43,319.3,1063.62,1093.75,64,23,1224,2.252,27,96,46,14,19,19,45,29,31,9,5,239
RP0039,1,336.44,3621.41,5,2,121.69,56.88,115.32,12024.12,75.96,366.07,271.6,914.3,756.42,37,11,1020,1.53,35,68,38,24,12,11,38,23,22,11,4,196
RP0040,3,228.7,2461.7,4,2,119.03,56.78,184.54,32843.82,166.0,277.26,629.89,1856.86,1777.47,44,13,2205,2.282,38,144,70,21,15,11,71,33,49,12,3,355
RP0041,2,272.5,2933.16,5,3,119.29,50.14,142.59,23094.12,133.67,298.96,453.89,1438.78,1199.77,45,14,1643,1.897,38,108,62,22,13,15,58,34,32,10,5,287
RP0042,1,111.73,1202.65,2,1,39.98,17.3,36.15,3743.41,21.59,128.17,94.09,273.58,275.37,17,4,310,1.119,13,31,16,11,9,7,15,12,11,7,3,87
RP0043,1,337.98,3637.98,6,2,122.3,54.96,111.21,11848.17,88.09,398.08,301.89,908.6,813.49,41,10,1044,1.571,34,68,41,27,13,10,37,26,24,12,4,199
RP0044,2,110.28,1187.04,4,3,50.84,21.56,61.11,9199.32,47.77,137.94,188.31,634.15,645.92,38,15,693,1.668,20,61,27,12,14,13,26,22,20,7,3,153
RP0045,3,199.38,2146.11,7,4,101.22,42.76,152.36,30795.67,142.98,229.77,501.75,1745.24,1568.34,51,21,1770,2.381,32,134,66,16,16,18,69,32,42,10,5,329
RP0046,3,87.67,943.67,5,3,43.51,20.45,67.72,11678.99,63.99,101.94,200.64,718.8,617.87,42,15,816,2.199,22,76,34,12,17,15,31,23,20,7,4,180
RP0047,2,92.93,1000.29,4,3,40.27,19.11,49.17,7971.28,47.24,100.99,167.86,486.06,439.12,38,16,620,1.593,18,53,25,12,14,16,21,24,16,5,4,137
RP0048,3,334.65,3602.14,8,4,189.4,85.24,227.83,48256.59,274.35,381.0,740.87,2838.73,2792.66,64,20,2912,2.6,58,189,118,27,18,19,105,49,72,13,5,511
RP0049,1,261.94,2819.5,6,3,97.2,41.03,98.01,8305.42,71.0,286.46,200.43,778.19,792.66,46,13,895,1.472,31,58,36,21,13,14,33,23,23,9,4,177
RP0050,1,246.26,2650.72,5,2,82.02,41.61,83.08,8805.58,54.17,272.8,179.81,755.97,694.35,37,9,792,1.417,28,55,31,19,13,10,33,25,23,8,4,169
RP0051,2,339.88,3658.43,7,2,136.74,61.97,185.34,30477.11,179.31,402.08,526.49,2185.41,2230.8,52,12,2161,2.074,42,135,80,26,16,11,83,37,58,12,4,379
RP0052,2,305.61,3289.56,7,2,125.19,63.3,163.08,24798.99,155.31,351.18,497.23,1823.0,1587.09,53,13,1851,2.019,42,118,67,23,15,12,71,35,41,10,3,324
RP0053,2,370.75,3990.72,7,4,161.46,66.24,205.87,32180.74,199.39,411.03,549.99,2054.25,2026.58,51,18,2232,2.162,47,144,86,29,15,16,77,36,53,11,4,385
RP0054,3,383.77,4130.86,8,3,190.84,95.66,315.15,55920.64,310.29,408.73,1016.49,3280.59,2880.37,60,17,3202,2.618,60,228,130,28,16,15,122,56,72,14,5,579
RP0055,3,339.18,3650.9,7,4,151.56,85.24,255.18,48496.72,246.28,407.31,873.13,3017.0,2734.87,65,21,2859,2.579,52,201,106,27,18,21,113,49,70,12,5,516
RP0056,2,167.72,1805.32,5,3,76.15,38.43,90.03,14362.37,76.83,185.56,294.04,976.68,989.04,49,13,1058,1.874,30,75,37,15,14,14,41,26,30,8,5,210
RP0057,3,342.56,3687.28,6,4,178.7,81.72,282.3,49816.53,248.19,438.11,891.31,2852.26,2652.17,51,21,3176,2.385,55,211,103,30,18,20,106,46,67,13,4,516
RP0058,3,202.49,2179.58,5,3,103.86,44.67,161.63,30417.06,139.44,206.26,523.87,1625.62,1502.2,47,17,1825,2.257,35,138,61,16,14,15,63,32,39,12,3,323
RP0059,2,386.72,4162.62,7,3,172.57,84.7,218.84,32990.86,216.74,458.27,610.95,2322.84,1973.52,51,15,2305,2.075,54,145,94,29,14,17,89,40,51,13,5,410
RP0060,1,281.89,3034.24,6,2,92.7,43.94,99.01,9056.14,70.23,339.63,211.62,856.68,853.97,38,10,882,1.466,30,58,38,22,11,10,34,26,26,12,5,183
RP0061,1,123.23,1326.44,3,1,41.55,18.68,40.57,3998.18,27.96,157.11,94.57,314.2,293.66,24,5,409,1.318,17,33,18,12,10,8,16,13,11,7,4,97
RP0062,2,387.9,4175.32,6,3,153.69,77.55,220.17,31995.6,173.78,415.29,582.51,2133.66,1824.59,50,15,2224,2.059,49,142,76,28,15,16,79,32,48,13,4,375
RP0063,2,397.93,4283.28,8,4,152.95,82.65,239.7,34718.83,208.06,463.28,729.9,2275.38,2298.78,68,19,2543,2.092,51,156,91,30,19,17,85,45,61,12,4,423
RP0064,2,152.92,1646.02,5,2,69.95,29.6,85.63,12614.58,76.36,161.81,221.53,884.95,754.54,38,12,1001,1.724,26,72,38,14,13,12,37,22,21,7,3,188
RP0065,3,238.1,2562.88,8,5,111.73,59.22,201.15,34041.38,198.35,275.74,601.5,2157.08,2135.96,75,26,2132,2.379,38,152,86,20,21,23,81,40,57,11,5,394
RP0066,3,375.99,4047.12,7,4,190.0,92.2,283.71,56961.21,307.64,475.61,950.82,3181.29,2990.69,62,18,3566,2.487,57,226,127,31,18,17,119,52,75,13,4,569
RP0067,2,148.88,1602.53,7,3,62.85,28.58,76.94,12577.07,72.82,180.06,219.65,833.89,743.28,52,17,931,1.839,22,69,39,14,16,15,35,27,23,7,5,184
RP0068,3,128.86,1387.04,5,4,66.65,30.26,103.82,18674.38,91.07,149.27,307.23,1104.02,930.49,53,23,1192,2.226,26,96,43,13,16,21,45,23,25,9,4,228
RP0069,1,272.44,2932.52,6,2,97.54,42.43,101.6,9276.83,65.91,319.78,214.48,814.28,670.48,39,10,816,1.525,32,62,35,23,11,11,33,25,21,10,4,181
RP0070,1,162.83,1752.69,4,1,60.61,22.66,52.5,5535.57,40.04,185.17,118.25,437.23,376.91,28,6,518,1.258,21,42,26,14,8,7,21,19,14,6,4,124
